STMIK Surya Intan,NkRCODQyMkYtMTI2RS00MkZFLUFFQkQtN0JDMTU1QkQyREZC
Universitas Budi Luhur,MTdBOTVCQkItMjE0RS00NkM1LTkyNEEtQTNEMEVDMTc2Q0Qx
Universitas Pancasila,ODA5QzhBODEtNEIzMy00REQyLUFGQzEtODU4MjBCQzhGNzhE
Sekolah Tinggi Ilmu Ekonomi Media Nusantara Citra,NTgxOEU0QzQtREM3MS00QkExLTkzRDEtQjZBOThFOUU4OUFC
Sekolah Tinggi Manajemen IMMI,Q0YxQTIxMDktNjk2MS00MkUzLTlDREYtRTNBOTIwRDRDREVD
Universitas Pasundan,MEFBMzk4QTItNkM2OC00RUUwLTg2RkEtM0VBNjVCNTREQzk3
Akademi Pertanian Yogyakarta,ODk4NTc1MDctMkNEMy00QUVFLUE2RDItRTUzMjg5QzgwMURB
